date,method,true_net_profit,gross_revenue,real_deg_cost,throughput,full_cycles
2019-11-11,dp_deg,6.52487e-15,9.52247e-15,2.9976e-15,2.498e-16,1.249e-16
2019-11-11,dp_nodeg,-10.0405,13.9595,24,2,1
2019-11-11,greedy,-40.1614,-10.1614,30,2.5,1.25
2019-11-12,dp_deg,6.77834e-15,9.77594e-15,2.9976e-15,2.498e-16,1.249e-16
2019-11-12,dp_nodeg,-5.00213,18.9979,24,2,1
2019-11-12,greedy,-15.2277,8.7723,24,2,1
2019-11-13,dp_deg,0.827787,12.8278,12,1,0.5
2019-11-13,dp_nodeg,-2.36303,21.637,24,2,1
2019-11-13,greedy,-11.4558,12.5442,24,2,1
2019-11-14,dp_deg,7.50178e-15,1.04994e-14,2.9976e-15,2.498e-16,1.249e-16
2019-11-14,dp_nodeg,-8.98483,15.0152,24,2,1
2019-11-14,greedy,-14.1887,9.81127,24,2,1
2019-11-15,dp_deg,5.78213e-15,8.77973e-15,2.9976e-15,2.498e-16,1.249e-16
2019-11-15,dp_nodeg,-35.6737,12.3263,48,4,2
2019-11-15,greedy,9.78991,27.7899,18,1.5,0.75
2019-11-16,dp_deg,5.82807e-15,8.82568e-15,2.9976e-15,2.498e-16,1.249e-16
2019-11-16,dp_nodeg,-30.5825,5.41752,36,3,1.5
2019-11-16,greedy,-70.5226,-16.5226,54,4.5,2.25
2019-11-17,dp_deg,5.53155e-15,8.52916e-15,2.9976e-15,2.498e-16,1.249e-16
2019-11-17,dp_nodeg,-15.7645,8.23551,24,2,1
2019-11-17,greedy,-19.5667,4.43333,24,2,1
2019-11-18,dp_deg,0.152754,12.1528,12,1,0.5
2019-11-18,dp_nodeg,-1.99219,22.0078,24,2,1
2019-11-18,greedy,-30.8317,-0.831714,30,2.5,1.25
2019-11-19,dp_deg,14.0129,38.0129,24,2,1
2019-11-19,dp_nodeg,14.0129,38.0129,24,2,1
2019-11-19,greedy,20.7139,38.7139,18,1.5,0.75
2019-11-20,dp_deg,0.127413,12.1274,12,1,0.5
